station_id,line_code,seq,is_interchange
J1A,LSX,1,1
J1B,LSX,2,1
N1C,LSX,3,0
N1D,LSX,4,0
N1G1,LSX,5,0
N1G2,LSX,6,0
N1G3,LSX,7,0
J2A,LSX,8,1
J2B,LSX,9,1
N2C,LSX,10,0
N2D,LSX,11,0
N2G1,LSX,12,0
N2G2,LSX,13,0
N2G3,LSX,14,0
J3A,LSX,15,1
J3B,LSX,16,1
N3C,LSX,17,0
N3D,LSX,18,0
N3G1,LSX,19,0
N3G2,LSX,20,0
N3G3,LSX,21,0
J4A,LSX,22,1
J4B,LSX,23,1
N4C,LSX,24,0
N4D,LSX,25,0
N4G1,LSX,26,0
N4G2,LSX,27,0
N4G3,LSX,28,0
J5A,LSX,29,1
J5B,LSX,30,1
N5C,LSX,31,0
N5D,LSX,32,0
N5G1,LSX,33,0
N5G2,LSX,34,0
N5G3,LSX,35,0
J6A,LSX,36,1
J6B,LSX,37,1
N6C,LSX,38,0
N6D,LSX,39,0
N6G1,LSX,40,0
N6G2,LSX,41,0
N6G3,LSX,42,0
J7A,LSX,43,1
J7B,LSX,44,1
N7C,LSX,45,0
N7D,LSX,46,0
N7G1,LSX,47,0
N7G2,LSX,48,0
N7G3,LSX,49,0
J8A,LSX,50,1
J8B,LSX,51,1
N8C,LSX,52,0
N8D,LSX,53,0
N8G1,LSX,54,0
N8G2,LSX,55,0
N8G3,LSX,56,0
J9A,LSX,57,1
J9B,LSX,58,1
N9C,LSX,59,0
N9D,LSX,60,0
N9G1,LSX,61,0
N9G2,LSX,62,0
N9G3,LSX,63,0
J10A,LSX,64,1
J10B,LSX,65,1
N10C,LSX,66,0
N10D,LSX,67,0
N10G1,LSX,68,0
N10G2,LSX,69,0
N10G3,LSX,70,0
J11A,LSX,71,1
J11B,LSX,72,1
N11C,LSX,73,0
N11D,LSX,74,0
N11G1,LSX,75,0
N11G2,LSX,76,0
N11G3,LSX,77,0
J12A,LSX,78,1
J12B,LSX,79,1
N12C,LSX,80,0
N12D,LSX,81,0
N12G1,LSX,82,0
N12G2,LSX,83,0
N12G3,LSX,84,0
J13A,LSX,85,1
J13B,LSX,86,1
N13C,LSX,87,0
N13D,LSX,88,0
N13G1,LSX,89,0
N13G2,LSX,90,0
N13G3,LSX,91,0
J14A,LSX,92,1
J14B,LSX,93,1
N14C,LSX,94,0
N14D,LSX,95,0
N14G1,LSX,96,0
N14G2,LSX,97,0
N14G3,LSX,98,0
J15A,LSX,99,1
J15B,LSX,100,1
N15C,LSX,101,0
N15D,LSX,102,0
N15G1,LSX,103,0
N15G2,LSX,104,0
N15G3,LSX,105,0
J16A,LSX,106,1
J16B,LSX,107,1
N16C,LSX,108,0
N16D,LSX,109,0
N16G1,LSX,110,0
N16G2,LSX,111,0
N16G3,LSX,112,0
J17A,LSX,113,1
J17B,LSX,114,1
N17C,LSX,115,0
N17D,LSX,116,0
N17G1,LSX,117,0
N17G2,LSX,118,0
N17G3,LSX,119,0
J18A,LSX,120,1
J18B,LSX,121,1
N18C,LSX,122,0
N18D,LSX,123,0
N18G1,LSX,124,0
N18G2,LSX,125,0
N18G3,LSX,126,0
J19A,LSX,127,1
J19B,LSX,128,1
N19C,LSX,129,0
N19D,LSX,130,0
N19G1,LSX,131,0
N19G2,LSX,132,0
N19G3,LSX,133,0
J20A,LSX,134,1
J20B,LSX,135,1
N20C,LSX,136,0
N20D,LSX,137,0
N20G1,LSX,138,0
N20G2,LSX,139,0
N20G3,LSX,140,0
J1A,LSY,1,1
J1B,LSY,2,1
S1C,LSY,3,0
S1D,LSY,4,0
S1G1,LSY,5,0
S1G2,LSY,6,0
S1G3,LSY,7,0
J2A,LSY,8,1
J2B,LSY,9,1
S2C,LSY,10,0
S2D,LSY,11,0
S2G1,LSY,12,0
S2G2,LSY,13,0
S2G3,LSY,14,0
J3A,LSY,15,1
J3B,LSY,16,1
S3C,LSY,17,0
S3D,LSY,18,0
S3G1,LSY,19,0
S3G2,LSY,20,0
S3G3,LSY,21,0
J4A,LSY,22,1
J4B,LSY,23,1
S4C,LSY,24,0
S4D,LSY,25,0
S4G1,LSY,26,0
S4G2,LSY,27,0
S4G3,LSY,28,0
J5A,LSY,29,1
J5B,LSY,30,1
S5C,LSY,31,0
S5D,LSY,32,0
S5G1,LSY,33,0
S5G2,LSY,34,0
S5G3,LSY,35,0
J6A,LSY,36,1
J6B,LSY,37,1
S6C,LSY,38,0
S6D,LSY,39,0
S6G1,LSY,40,0
S6G2,LSY,41,0
S6G3,LSY,42,0
J7A,LSY,43,1
J7B,LSY,44,1
S7C,LSY,45,0
S7D,LSY,46,0
S7G1,LSY,47,0
S7G2,LSY,48,0
S7G3,LSY,49,0
J8A,LSY,50,1
J8B,LSY,51,1
S8C,LSY,52,0
S8D,LSY,53,0
S8G1,LSY,54,0
S8G2,LSY,55,0
S8G3,LSY,56,0
J9A,LSY,57,1
J9B,LSY,58,1
S9C,LSY,59,0
S9D,LSY,60,0
S9G1,LSY,61,0
S9G2,LSY,62,0
S9G3,LSY,63,0
J10A,LSY,64,1
J10B,LSY,65,1
S10C,LSY,66,0
S10D,LSY,67,0
S10G1,LSY,68,0
S10G2,LSY,69,0
S10G3,LSY,70,0
J11A,LSY,71,1
J11B,LSY,72,1
S11C,LSY,73,0
S11D,LSY,74,0
S11G1,LSY,75,0
S11G2,LSY,76,0
S11G3,LSY,77,0
J12A,LSY,78,1
J12B,LSY,79,1
S12C,LSY,80,0
S12D,LSY,81,0
S12G1,LSY,82,0
S12G2,LSY,83,0
S12G3,LSY,84,0
J13A,LSY,85,1
J13B,LSY,86,1
S13C,LSY,87,0
S13D,LSY,88,0
S13G1,LSY,89,0
S13G2,LSY,90,0
S13G3,LSY,91,0
J14A,LSY,92,1
J14B,LSY,93,1
S14C,LSY,94,0
S14D,LSY,95,0
S14G1,LSY,96,0
S14G2,LSY,97,0
S14G3,LSY,98,0
J15A,LSY,99,1
J15B,LSY,100,1
S15C,LSY,101,0
S15D,LSY,102,0
S15G1,LSY,103,0
S15G2,LSY,104,0
S15G3,LSY,105,0
J16A,LSY,106,1
J16B,LSY,107,1
S16C,LSY,108,0
S16D,LSY,109,0
S16G1,LSY,110,0
S16G2,LSY,111,0
S16G3,LSY,112,0
J17A,LSY,113,1
J17B,LSY,114,1
S17C,LSY,115,0
S17D,LSY,116,0
S17G1,LSY,117,0
S17G2,LSY,118,0
S17G3,LSY,119,0
J18A,LSY,120,1
J18B,LSY,121,1
S18C,LSY,122,0
S18D,LSY,123,0
S18G1,LSY,124,0
S18G2,LSY,125,0
S18G3,LSY,126,0
J19A,LSY,127,1
J19B,LSY,128,1
S19C,LSY,129,0
S19D,LSY,130,0
S19G1,LSY,131,0
S19G2,LSY,132,0
S19G3,LSY,133,0
J20A,LSY,134,1
J20B,LSY,135,1
S20C,LSY,136,0
S20D,LSY,137,0
S20G1,LSY,138,0
S20G2,LSY,139,0
S20G3,LSY,140,0
